Region,Country,Vine Area ('000 ha),Cropland under vines (%),Wine produced (ML),Wine consumed (ML),Wine consumed (l/capita),Wine expenditure (US$m 2015),Per capita wine expenditure (US$ 2015),Population (millions),GDP (billion US$ real 1990),GDP per capita ('000 US$),Wine export vol. (ML),Wine import vol. (ML),Value of wine exports (US$ mill),Value of wine imports (US$ mill),Bottled still wine exports (ML),Bottled still wine imports (ML),Sparkling wine exports (ML),Sparkling wine imports (ML),Bulk wine exports (ML),Bulk wine imports (ML),Unit value exports (US$/litre),Unit value imports (US$/litre),% of global prod'n volume,% of global cons'n volume,% of '15 global wine expend.,Wine as % of alcohol cons'n volume,Exports as % of prod'n volume,Imports as % of cons'n volume,Wine self- suff.  (%),% of world export volume,% of world export value,% of world import volume,% of world import value,Index of wine comp. advant.
WEX,France,776.3333333333334,3.922786316824509,4683.799999999999,2735.634204440729,41.28582829098946,31509.75,491.8778333580426,66.59833333333333,1485.799763014323,22.309864055872115,1443.8803333333333,733.41,9523.900891666666,804.983546,1028.906283,114.32545900000001,183.35614966666665,24.507019666666665,230.03557966666665,578.2831626666666,6.593657266273037,1.1040720760033296,17.199431913509656,11.143769746153309,10.0515590320133,57.14285714277092,30.83076158062879,26.839423944741228,171.22666821915433,13.573302860392536,28.751303370399,6.902188471425684,2.4189843338927557,9.290973031294005
WEX,Italy,691.6666666666666,7.707488214011622,4905.166666666667,2113.3333333333335,34.24720546547007,16312,268.24372305875784,61.708333333333336,1101.4491726595052,17.849277612307983,2082.8863166666665,235.24711533333334,6378.417771,367.280676,1200.1578749999999,22.921098333333333,285.067024,6.380160666666666,530.7829459999999,201.58917966666664,3.0592682571755567,1.616854392158997,18.021110354564218,8.612354559694706,5.235904397874473,63.67262689756028,42.71242792070722,11.25387468481508,232.12579812019064,19.592993372334476,19.246379170571053,2.2089036346534208,1.1013081015207637,6.774276824411731
WEX,Portugal,197,9.49602122015915,642.3000000000001,445.35080949821867,42.81254804789831,3175.5,305.2528689358927,10.384048666666667,139.6865143551943,13.452028090314641,280.791,209.132843017578,861.4596666666666,139.20871933333333,217.48353033333333,41.209292,1.5347609999999998,5.356421999999999,61.150281,157.76064366666665,3.0659147764386607,0.6653800994036341,2.3574385903884774,1.8120320940318981,1.0259979540563562,63.31923890055923,43.91769018082499,52.18325061867066,139.2610020623485,2.6399684510706183,2.5980386833409805,1.9644382595728136,0.41609907073465124,7.567731250603223
WEX,Spain,975.6666666666666,5.416569699790552,3883.3333333333335,700,15.131956279195489,5455.950000000001,117.38625140803376,46.12713833333333,746.5148947120142,16.183854487512235,2349.976,66.49262566666665,3181.5335,194.80714366666666,853.1571483333333,33.812108333333335,154.62294933333337,9.066705,1332.2694373333334,15.585197333333333,1.3235440782812509,3.033952866780286,14.266654224401833,2.8481422706999755,1.7618002634474186,23.204419889502763,60.585809945088535,7.217285714285715,564.2857142857143,22.07289730286456,9.553241927158783,0.6264619639199581,0.5858369664831761,5.547238853297131
WEM,Austria,44.40733333333333,3.077699364855328,207.28966666666665,247.429,29.00430383085211,4444.7,520.5365204960999,8.553834,215.35835995360677,25.176822458047088,49.080000000000005,75.9485,172.453,240.6265,40.459503999999995,38.404903,0.9253420000000001,16.85985,7.7272185,20.561282,3.5111612115121957,3.1596984555212035,0.7608488498342306,0.9985972401888152,1.4225951901193652,33.77854289746057,23.790465844077474,30.697999054536197,86.20551836963878,0.46151989420059136,0.5199535514458936,0.7,0.7,0.5576194779421896
WEM,Bel-Lux,1,0.11198208286674133,13.464666666666666,370.5800855833334,31.44954246207762,3412.45,305.2985145622903,11.883171333333332,289.7548097243958,24.383626356678732,38.86102766666667,328.6666666666667,184.67450000000002,1194.369608,28.015424666666664,193.980327,4.29761,44.461267,5.8728370000000005,86.521278,4.611575455664983,3.6275025025104717,0.04937553316373424,1.5078068663278665,1.0955294287879784,34.30376595150241,292.6375270151918,93.77460190635485,4.15402786033906,0.36519471271374054,0.5539332995902941,3.089118715182996,3.5766601703617558,0.21531580768329578
WEM,Denmark,0,0,,169.76241124932093,30.062944502694478,3278.95,581.1447770899904,5.671993333333333,138.99546912745313,24.505576956623095,34.89333333333334,193.81500000000003,143.60366666666667,668.84,15.192055333333334,104.12376,1.0232646666666667,7.3685323333333335,16.866126333333334,78.94418933333334,4.106447365394188,3.4486692024408145,,0.6907249992216343,1.0578593001564893,45.5020920501272,,115.79477373898712,,0.32830473117238274,0.43308776940018534,1.822386841524495,2.0048770064398913,0.7337878971081148
WEM,Finland,0,0,,63.81063041641143,11.644998123316306,1191.4,218.1853771088392,5.497705666666666,128.05376441314976,23.292219005021874,8.58722544670105,76.5415,21.598447105407715,242.13899999999998,1.4460250000000001,36.1039195,0.15660400000000002,7.4124680000000005,6.9881225,32.9855765,2.5433514360497362,3.1618730712597527,,0.2596310768699928,0.37249252771432756,21.328224776445023,,120.77924868797159,,0.07990348117523821,0.06507417557503367,0.7,0.7,0.17129636649470417
WEM,Germany,100.66033333333333,0.8288471094914693,901.1666666666666,1894.332401942027,23.098654441170215,15744.599999999999,194.46619735012757,81.99133333333333,1802.702058361979,21.98649521935626,373.7906666666666,1516.1046666666668,1147.211466,2987.0329696666668,272.571684,567.687021,29.377393333333334,64.21057333333333,70.66961566666667,880.7554806666667,3.061821056539228,1.9676269189015123,3.3103226604913623,7.721448196876636,4.998544326054268,28.105167724322143,41.47315626559427,80.32603333671389,47.68325482781044,3.515370476338869,3.4579469763386963,14.252728884801462,8.94246905069184,0.42196220199194556
WEM,Greece,107.93333333333334,2.974496644295302,288.1333333333333,284.191868025038,25.8707544668364,3785.7999999999997,347.4384307373301,10.985131333333333,131.74236235791017,11.992789012740388,28.741687530517577,17.271333333333335,79.44766666666665,37.013,22.33772433333333,7.341933666666667,0.2028093333333333,2.4938556666666667,5.221252333333333,5.294429666666667,2.765103111150925,2.1792053232772925,1.0572418112536628,1.1574012877373843,1.1626956507523416,51.538762761194135,10.144435904229331,6.105226187072599,101.10081529306022,0.270312061702632,0.2398998922805816,0.16255882370347982,0.11102206463219748,1.3289687286711034
