,wpm,acc,rawWpm,consistency,charStats,testDuration,language
768,103.2,92.96,109.6,74.75,"129,3,1,0",15.0,english
769,110.4,91.82,123.2,75.69,"138,6,1,1",15.0,english
770,114.4,94.41,128.8,85.38,"143,6,0,0",15.0,english
771,104.8,90.07,120.8,75.81,"131,10,2,1",15.0,english
772,121.6,95.68,126.4,80.23,"152,2,1,0",15.0,english
773,94.4,93.8,99.2,66.09,"118,3,1,0",15.0,english
774,92.0,85.06,123.2,83.52,"115,14,3,2",15.0,english
775,103.2,98.47,103.2,75.1,"129,0,0,0",15.0,english
776,112.0,97.95,116.8,77.35,"140,2,0,1",15.0,english
777,100.0,96.24,104.0,72.73,"125,2,0,0",15.0,english
778,114.32,99.31,115.12,73.43,"143,1,0,0",15.01,english
779,93.6,91.37,109.6,73.14,"117,6,1,1",15.0,english
780,100.0,93.71,111.2,72.95,"125,4,0,0",15.0,english
781,114.4,99.31,114.4,72.89,"143,0,0,0",15.0,english
782,98.4,94.33,109.6,76.44,"123,4,0,0",15.0,english
783,109.6,94.77,121.6,75.67,"137,5,0,1",15.0,english
784,112.0,97.97,118.4,79.78,"140,2,0,0",15.0,english
785,109.6,93.38,120.8,83.19,"137,7,1,0",15.0,english
786,109.6,96.55,115.2,79.43,"137,2,1,0",15.0,english
787,104.8,97.81,104.8,76.06,"131,0,0,0",15.0,english
788,96.0,93.38,104.0,66.2,"120,0,2,0",15.0,english
789,111.2,93.46,120.8,75.15,"139,5,1,0",15.0,english
790,92.0,92.54,107.2,72.44,"115,6,1,1",15.0,english
791,116.8,94.9,125.6,88.5,"146,4,2,0",15.0,english
792,83.2,84.46,116.8,75.77,"104,14,1,1",15.0,english
793,101.6,97.78,108.0,85.95,"127,2,0,0",15.0,english
794,124.0,100.0,124.0,83.18,"155,0,0,0",15.0,english
795,107.78,95.95,118.16,77.84,"135,2,2,0",15.03,english
796,103.2,93.06,113.6,83.07,"129,6,0,1",15.0,english
797,92.8,94.35,93.6,63.2,"116,1,0,0",15.0,english
798,104.0,95.14,115.2,74.54,"130,3,2,0",15.0,english
799,108.8,93.13,128.0,84.82,"136,6,1,1",15.0,english
800,110.4,97.95,116.8,79.64,"138,2,0,0",15.0,english
801,97.6,94.07,103.2,66.55,"122,2,0,0",15.0,english
802,112.0,97.93,116.0,83.25,"140,2,0,0",15.0,english
803,119.2,99.33,119.2,76.06,"149,0,0,0",15.0,english
804,110.4,96.58,116.0,77.66,"138,2,1,0",15.0,english
805,98.33,94.03,103.13,69.02,"123,2,0,0",15.01,english
806,91.2,90.98,103.2,77.49,"114,5,2,0",15.0,english
807,118.4,100.0,118.4,78.78,"148,0,0,0",15.0,english
808,104.0,94.37,108.0,71.43,"130,2,0,0",15.0,english
809,116.8,100.0,116.8,76.43,"146,0,0,0",15.0,english
810,101.6,92.96,113.6,75.34,"127,8,0,1",15.0,english
811,97.6,94.74,102.4,71.21,"122,2,0,0",15.0,english
812,97.6,95.65,110.4,75.15,"122,4,0,0",15.0,english
813,109.6,98.56,109.6,71.19,"137,0,0,0",15.0,english
814,111.13,96.6,115.12,74.95,"139,1,0,0",15.01,english
815,104.8,99.24,104.8,76.82,"131,0,0,0",15.0,english
816,101.53,95.62,107.13,73.52,"127,1,1,0",15.01,english
817,98.4,93.71,112.0,81.29,"123,2,2,0",15.0,english
818,91.08,92.37,102.26,68.59,"114,4,1,0",15.02,english
819,93.6,92.09,110.4,70.39,"117,6,1,0",15.0,english
820,106.4,95.3,119.2,79.05,"133,3,0,3",15.0,english
821,108.8,98.55,108.8,74.22,"136,0,0,0",15.0,english
822,106.4,97.08,106.4,76.06,"133,0,0,0",15.0,english
823,106.4,95.71,109.6,76.31,"133,2,0,0",15.0,english
824,91.2,91.49,110.4,67.32,"114,5,1,1",15.0,english
825,105.6,92.16,122.4,84.73,"132,8,0,1",15.0,english
826,117.6,98.06,124.0,80.11,"147,2,0,0",15.0,english
827,96.0,91.3,105.6,66.75,"120,3,1,0",15.0,english
828,93.6,90.7,93.6,59.34,"117,0,0,0",15.0,english
829,83.2,87.8,91.2,60.89,"104,3,1,1",15.0,english
830,91.2,89.29,107.2,71.08,"114,5,1,0",15.0,english
831,119.12,98.09,125.52,84.06,"149,2,0,0",15.01,english
832,107.2,99.26,107.2,74.02,"134,0,0,0",15.0,english
833,97.6,93.94,104.0,67.81,"122,4,1,0",15.0,english
834,94.4,96.03,98.4,66.11,"118,2,0,0",15.0,english
835,65.93,96.74,72.2,48.95,"84,2,0,0",15.29,english
836,86.4,90.98,94.4,58.91,"108,5,2,0",15.0,english
837,96.8,96.03,96.8,63.44,"121,0,0,0",15.0,english
838,88.8,89.39,105.6,82.3,"111,9,2,0",15.0,english
839,105.6,100.0,105.6,81.35,"132,0,0,0",15.0,english
840,92.0,94.31,96.0,51.27,"115,4,0,0",15.0,english
841,111.2,98.61,115.2,77.24,"139,1,0,0",15.0,english
842,91.2,96.0,96.8,71.38,"114,0,0,1",15.0,english
843,99.13,94.81,105.53,65.58,"124,2,0,1",15.01,english
844,108.0,97.86,112.0,70.81,"135,2,0,0",15.0,english
845,97.6,94.7,103.2,73.37,"122,3,0,0",15.0,english
846,104.8,91.88,128.0,82.32,"131,8,1,1",15.0,english
847,100.8,90.79,120.8,83.94,"126,8,1,0",15.0,english
848,103.93,98.48,103.93,74.36,"130,0,0,0",15.01,english
849,80.0,94.5,84.0,66.5,"100,1,0,0",15.0,english
850,107.93,97.9,114.32,81.29,"135,2,0,0",15.01,english
851,100.0,97.73,104.8,69.46,"125,2,0,0",15.0,english
852,109.6,96.53,113.6,75.12,"137,2,0,0",15.0,english
853,95.2,91.79,107.2,78.97,"119,7,1,0",15.0,english
854,103.2,95.62,106.4,72.93,"129,0,1,0",15.0,english
855,99.2,96.92,103.2,76.29,"124,2,0,0",15.0,english
856,97.6,96.97,105.6,74.02,"122,2,0,0",15.0,english
857,88.8,92.42,100.8,68.35,"111,4,0,0",15.0,english
858,91.2,90.28,112.0,72.1,"114,5,2,0",15.0,english
859,96.0,91.49,109.6,71.51,"120,7,0,2",15.0,english
860,112.8,98.6,112.8,76.74,"141,0,0,0",15.0,english
861,106.4,97.2,112.8,78.04,"133,2,0,0",15.0,english
862,87.2,92.37,104.0,71.5,"109,5,1,0",15.0,english
863,108.0,100.0,108.0,80.97,"135,0,0,0",15.0,english
864,103.2,92.31,124.8,85.61,"129,7,1,0",15.0,english
865,110.4,99.28,110.4,74.63,"138,0,0,0",15.0,english
866,97.6,96.21,103.2,66.5,"122,0,1,0",15.0,english
867,96.8,93.28,105.6,74.65,"121,4,1,0",15.0,english
868,108.0,91.88,128.0,86.02,"135,8,1,1",15.0,english
869,105.6,95.86,116.0,75.04,"132,4,0,0",15.0,english
870,98.4,96.95,104.0,75.81,"123,2,0,0",15.0,english
871,107.2,92.11,121.6,83.94,"134,8,1,0",15.0,english
872,113.6,100.0,113.6,74.45,"142,0,0,0",15.0,english
873,115.2,97.99,119.2,89.3,"144,2,0,0",15.0,english
874,116.0,99.32,116.0,76.73,"145,0,0,0",15.0,english
875,104.8,93.84,116.8,81.44,"131,4,2,1",15.0,english
876,108.0,99.26,108.0,76.7,"135,0,0,0",15.0,english
877,106.33,95.21,114.32,81.44,"133,3,0,0",15.01,english
878,98.4,96.18,103.2,77.69,"123,1,1,0",15.0,english
879,113.6,95.42,121.6,80.0,"142,4,1,0",15.0,english
880,105.6,93.2,116.8,83.67,"132,6,1,0",15.0,english
881,104.0,95.71,109.6,67.82,"130,1,1,0",15.0,english
882,107.2,97.14,111.2,76.97,"134,2,0,0",15.0,english
883,111.2,91.61,123.2,85.57,"139,8,1,1",15.0,english
884,113.6,97.97,118.4,81.55,"142,1,1,0",15.0,english
885,100.8,90.54,118.4,82.69,"126,9,2,0",15.0,english
886,96.8,89.54,122.4,80.33,"121,11,1,0",15.0,english
887,105.6,95.86,113.6,80.86,"132,1,1,0",15.0,english
888,104.8,93.84,116.8,79.98,"131,5,1,1",15.0,english
889,100.8,88.24,122.4,80.99,"126,11,2,1",15.0,english
890,92.0,84.35,115.2,78.86,"115,10,5,0",15.0,english
891,97.6,92.57,118.4,87.25,"122,7,0,0",15.0,english
892,101.6,93.01,114.4,78.38,"127,7,1,0",15.0,english
