_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
63bfcacc7c8d4d1d81b5f5d3||92|94.31|96|51.27|115,4,0,0|time|15|-1|0|15|1|0|false|false|english|none|normal|false|false|false||1673513676000
63bfcabb7c8d4d1d81b5f55d||111.2|98.61|115.2|77.24|139,1,0,0|time|15|-1|1|15|0|8.51|false|false|english|none|normal|false|false|false||1673513659000
63bfcaa17c8d4d1d81b5f493||91.2|96|96.8|71.38|114,0,0,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673513633000
63bfca6e7c8d4d1d81b5f2fa||99.13|94.81|105.53|65.58|124,2,0,1|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1673513582000
63bfca5e7c8d4d1d81b5f287||108|97.86|112|70.81|135,2,0,0|time|15|-1|2|15|0|22.45|false|false|english|none|normal|false|false|false||1673513566000
63bfca367c8d4d1d81b5f161||97.6|94.7|103.2|73.37|122,3,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673513526000
63bfca117c8d4d1d81b5f056||104.8|91.88|128|82.32|131,8,1,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673513489000
63bfca017c8d4d1d81b5efe5||100.8|90.79|120.8|83.94|126,8,1,0|time|15|-1|1|15|0|12.77|false|false|english|none|normal|false|false|false||1673513473000
63bfc9e37c8d4d1d81b5ef0d||103.93|98.48|103.93|74.36|130,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1673513443000
63bfc9987c8d4d1d81b5ed12||80|94.5|84|66.5|100,1,0,0|time|15|-1|2|15|0|10.65|false|false|english|none|normal|false|false|false||1673513368000
63bfc6377c8d4d1d81b094f9||107.93|97.9|114.32|81.29|135,2,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1673512503000
63bfc6277c8d4d1d81b0948d||100|97.73|104.8|69.46|125,2,0,0|time|15|-1|1|15|0|12.77|false|false|english|none|normal|false|false|false||1673512487000
63bfc6097c8d4d1d81b09399||109.6|96.53|113.6|75.12|137,2,0,0|time|15|-1|1|15|0|5.32|false|false|english|none|normal|false|false|false||1673512457000
63bfc5da7c8d4d1d81b09244||95.2|91.79|107.2|78.97|119,7,1,0|time|15|-1|1|15|0|6.9|false|false|english|none|normal|false|false|false||1673512410000
63bfc5c27c8d4d1d81b091a4||103.2|95.62|106.4|72.93|129,0,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512386000
63bfc5b17c8d4d1d81b09131||99.2|96.92|103.2|76.29|124,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512369000
63bfc5a17c8d4d1d81b090c8||97.6|96.97|105.6|74.02|122,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512353000
63bfc56d7c8d4d1d81b08f77||88.8|92.42|100.8|68.35|111,4,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512301000
63bfc55d7c8d4d1d81b08ef5||91.2|90.28|112|72.1|114,5,2,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512285000
63bfc54d7c8d4d1d81b08e80||96|91.49|109.6|71.51|120,7,0,2|time|15|-1|1|15|0|0.13|false|false|english|none|normal|false|false|false||1673512269000
63bfc52a7c8d4d1d81b08d85||112.8|98.6|112.8|76.74|141,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512234000
63bfc51a7c8d4d1d81b08d0f||106.4|97.2|112.8|78.04|133,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512218000
63bfc50a7c8d4d1d81b08c91||87.2|92.37|104|71.5|109,5,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512202000
63bfc4fb7c8d4d1d81adec03||108|100|108|80.97|135,0,0,0|time|15|-1|1|15|0|11.68|false|false|english|none|normal|false|false|false||1673512187000
63bfc4dd7c8d4d1d81ab49ff||103.2|92.31|124.8|85.61|129,7,1,0|time|15|-1|3|15|0|15.76|false|false|english|none|normal|false|false|false||1673512157000
63bfc4857c8d4d1d81ab4777||110.4|99.28|110.4|74.63|138,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673512069000
63bfc4757c8d4d1d81ab470f||97.6|96.21|103.2|66.5|122,0,1,0|time|15|-1|1|15|0|13.07|false|false|english|none|normal|false|false|false||1673512053000
63bfc4557c8d4d1d81ab4635||96.8|93.28|105.6|74.65|121,4,1,0|time|15|-1|2|15|0|14.41|false|false|english|none|normal|false|false|false||1673512021000
63bfc4337c8d4d1d81ab451e||108|91.88|128|86.02|135,8,1,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511987000
63bfc4237c8d4d1d81ab449d||105.6|95.86|116|75.04|132,4,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511971000
63bfc4137c8d4d1d81ab4434||98.4|96.95|104|75.81|123,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511955000
63bfc4027c8d4d1d81ab43a7||107.2|92.11|121.6|83.94|134,8,1,0|time|15|-1|1|15|0|2.78|false|false|english|none|normal|false|false|false||1673511938000
63bfc3ee7c8d4d1d81ab432b||113.6|100|113.6|74.45|142,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511918000
63bfc3de7c8d4d1d81ab42b4||115.2|97.99|119.2|89.3|144,2,0,0|time|15|-1|2|15|0|3.68|false|false|english|none|normal|false|false|false||1673511902000
63bfc3967c8d4d1d81ab409a||116|99.32|116|76.73|145,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511830000
63bfc3867c8d4d1d81ab401b||104.8|93.84|116.8|81.44|131,4,2,1|time|15|-1|1|15|0|12.42|false|false|english|none|normal|false|false|false||1673511814000
