StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
032650,96000,3,176740,1.92,1.94,1.73,1.73,-0.15,2023-02-01
032651,55000,4,103740,1.93,1.99,1.71,1.71,-0.16,2023-02-01
032652,6000,2,12780,2.13,2.13,2.13,2.13,0.12,2023-02-01
032653,118000,14,164870,1.47,1.47,1.34,1.34,-0.1,2023-02-01
032654,13000,1,30420,2.34,2.34,2.34,2.34,-0.02,2023-02-01
032655,99000,3,222300,2.24,2.26,2.23,2.26,0.03,2023-02-01
032656,131000,7,294570,2.28,2.29,2.22,2.27,0.0,2023-02-01
032657,53000,3,112920,2.16,2.16,2.13,2.13,0.0,2023-02-01
032658,48000,6,64420,1.35,1.35,1.33,1.35,0.02,2023-02-01
032659,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03265P,66000,4,10320,0.17,0.17,0.15,0.15,-0.04,2023-02-01
03265U,193000,6,309950,1.66,1.66,1.41,1.41,-0.13,2023-02-01
032660,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032661,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032662,20000,3,24420,1.22,1.24,1.22,1.24,0.0,2023-02-01
032663,163000,15,240380,1.43,1.54,1.4,1.54,0.11,2023-02-01
032664,197000,6,241030,1.26,1.29,1.22,1.26,-0.01,2023-02-01
032665,1000,1,1760,1.76,1.76,1.76,1.76,0.11,2023-02-01
032666,288000,16,483220,1.59,1.7,1.59,1.68,0.17,2023-02-01
032667,27000,6,56280,2.16,2.18,2.03,2.03,-0.02,2023-02-01
032668,26000,5,60600,2.36,2.38,2.24,2.24,-0.01,2023-02-01
032669,11000,2,22110,2.01,2.01,2.01,2.01,0.1,2023-02-01
03266P,537000,28,1241080,2.29,2.36,2.28,2.29,-0.08,2023-02-01
03266U,74000,7,107520,1.48,1.48,1.44,1.46,-0.13,2023-02-01
032670,231000,4,133290,0.56,0.59,0.56,0.59,0.08,2023-02-01
032671,272000,5,324780,1.16,1.29,1.16,1.29,0.3,2023-02-01
032672,17000,4,26600,1.5,1.6,1.5,1.6,0.41,2023-02-01
032673,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032674,141000,10,269370,1.88,1.94,1.84,1.91,0.16,2023-02-01
032675,63000,6,136930,2.15,2.18,2.11,2.17,0.14,2023-02-01
032676,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032677,23000,2,25300,1.1,1.1,1.1,1.1,0.08,2023-02-01
032678,172000,4,245020,1.4,1.6,1.4,1.6,0.0,2023-02-01
032679,11000,2,9850,0.95,0.95,0.89,0.89,0.0,2023-02-01
03267P,730000,9,1153700,1.58,1.6,1.58,1.6,-0.02,2023-02-01
03267U,10000,1,12300,1.23,1.23,1.23,1.23,0.01,2023-02-01
032680,272000,5,519940,2.01,2.02,1.74,1.74,-0.21,2023-02-01
032681,98000,7,109290,1.13,1.13,1.11,1.11,-0.03,2023-02-01
032682,317000,25,897290,2.76,2.89,2.68,2.84,0.07,2023-02-01
032683,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032684,129000,6,532190,3.98,4.21,3.97,4.21,0.0,2023-02-01
032685,22000,2,22120,1.02,1.02,0.98,0.98,0.01,2023-02-01
032686,82000,11,148880,1.74,1.88,1.74,1.85,0.19,2023-02-01
032687,538000,9,636710,1.18,1.22,1.17,1.19,0.06,2023-02-01
032688,100000,10,272000,2.81,2.81,2.61,2.61,-1.2,2023-02-01
032689,42000,9,53440,1.28,1.29,1.21,1.22,-0.12,2023-02-01
03268P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03268U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032690,10000,2,11800,1.18,1.18,1.18,1.18,0.04,2023-02-01
032691,1000,1,1250,1.25,1.25,1.25,1.25,0.01,2023-02-01
032692,301000,4,342880,1.24,1.24,1.12,1.12,-0.16,2023-02-01
032693,10000,1,14700,1.47,1.47,1.47,1.47,0.03,2023-02-01
032694,246000,12,558040,2.19,2.39,2.19,2.39,0.34,2023-02-01
032695,311000,6,277790,0.9,0.91,0.89,0.89,-0.03,2023-02-01
032696,810000,22,893120,1.03,1.15,1.03,1.13,0.08,2023-02-01
032697,299000,6,488600,1.55,1.84,1.55,1.84,0.3,2023-02-01
032698,252000,6,268380,1.09,1.09,1.05,1.05,-0.03,2023-02-01
032699,307000,10,108040,0.34,0.37,0.34,0.37,0.04,2023-02-01
03269P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03269U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032700,21000,4,23520,1.12,1.12,1.12,1.12,0.05,2023-02-01
032701,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032702,211000,8,267380,1.26,1.3,1.22,1.3,-0.13,2023-02-01
032703,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032704,56000,3,96170,1.77,1.77,1.7,1.7,-0.02,2023-02-01
032705,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032706,4000,3,5710,1.4,1.44,1.4,1.43,0.04,2023-02-01
032707,93000,4,114290,1.26,1.26,1.21,1.21,0.01,2023-02-01
032708,186000,12,327670,1.76,1.87,1.55,1.55,-0.34,2023-02-01
032709,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03270P,202000,7,675840,3.34,3.41,3.33,3.36,-0.07,2023-02-01
03270U,26000,4,14120,0.55,0.55,0.51,0.51,-0.03,2023-02-01
032710,15000,1,14700,0.98,0.98,0.98,0.98,-0.15,2023-02-01
032711,586000,44,1096470,1.78,1.94,1.74,1.91,0.27,2023-02-01
032712,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032713,22000,3,32090,1.46,1.46,1.43,1.43,0.01,2023-02-01
032714,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032715,13000,2,21300,1.62,1.7,1.62,1.7,0.09,2023-02-01
032716,2000,1,4120,2.06,2.06,2.06,2.06,0.12,2023-02-01
032717,2000,1,4580,2.29,2.29,2.29,2.29,0.12,2023-02-01
032718,2000,1,4440,2.22,2.22,2.22,2.22,0.11,2023-02-01
032719,16000,3,31040,1.96,1.96,1.9,1.91,-0.1,2023-02-01
03271P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03271U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032720,60000,2,95200,1.57,1.59,1.57,1.59,0.15,2023-02-01
032721,133000,19,485460,3.6,3.7,3.54,3.69,0.17,2023-02-01
032722,7000,2,12760,1.83,1.83,1.82,1.82,0.03,2023-02-01
032723,649000,10,1439540,2.3,2.32,2.18,2.29,0.06,2023-02-01
032724,101000,12,221400,2.24,2.24,2.12,2.18,-0.02,2023-02-01
032725,2000,2,3930,1.95,1.98,1.95,1.98,0.05,2023-02-01
032726,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032727,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032728,114000,4,131900,1.2,1.2,1.15,1.15,-0.03,2023-02-01
032729,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03272P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03272U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032730,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032731,28000,6,45690,1.61,1.64,1.61,1.62,0.0,2023-02-01
032732,192000,6,216610,1.11,1.34,1.11,1.34,0.26,2023-02-01
032733,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032734,74000,4,160670,2.12,2.2,2.12,2.2,0.19,2023-02-01
032735,50000,1,90000,1.8,1.8,1.8,1.8,0.3,2023-02-01
032736,33000,6,68810,2.03,2.13,2.02,2.13,0.22,2023-02-01
032737,1000,1,2810,2.81,2.81,2.81,2.81,0.0,2023-02-01
032738,7000,1,6510,0.93,0.93,0.93,0.93,-0.06,2023-02-01
032739,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03273P,414000,9,276970,0.67,0.68,0.65,0.65,-0.22,2023-02-01
03273U,367000,11,165280,0.47,0.47,0.45,0.46,-0.05,2023-02-01
032740,45000,1,90450,2.01,2.01,2.01,2.01,0.0,2023-02-01
032741,12000,2,41240,3.37,3.53,3.37,3.53,0.0,2023-02-01
032742,15000,1,15450,1.03,1.03,1.03,1.03,0.04,2023-02-01
032743,153000,8,211520,1.32,1.46,1.32,1.32,0.12,2023-02-01
032744,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032745,92000,4,113140,1.23,1.23,1.21,1.21,0.03,2023-02-01
032746,75000,8,103250,1.39,1.39,1.36,1.37,-0.03,2023-02-01
032747,91000,6,119720,1.32,1.32,1.27,1.27,0.0,2023-02-01
032748,165000,7,209700,1.23,1.3,1.23,1.3,0.26,2023-02-01
032749,173000,19,316360,1.67,1.96,1.67,1.72,0.18,2023-02-01
03274P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03274U,20000,1,11000,0.55,0.55,0.55,0.55,0.0,2023-02-01
032750,150000,11,539100,3.43,3.78,3.43,3.68,0.37,2023-02-01
032751,457000,18,614970,1.32,1.4,1.32,1.33,-0.04,2023-02-01
032752,464000,6,329620,0.74,0.74,0.63,0.66,-0.02,2023-02-01
032753,1204000,14,1332050,1.09,1.14,1.03,1.07,-0.05,2023-02-01
032754,561000,7,1123340,2.04,2.04,1.92,1.99,-0.12,2023-02-01
032755,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032756,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032757,22000,2,6820,0.31,0.31,0.31,0.31,0.0,2023-02-01
032758,11000,2,17260,1.57,1.57,1.56,1.56,0.17,2023-02-01
032759,295000,20,595300,1.96,2.11,1.96,2.07,0.21,2023-02-01
03275P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03275U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032760,493000,16,1440300,2.81,3.07,2.81,3.04,0.31,2023-02-01
032761,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032762,369000,42,774740,2.45,2.45,1.97,1.97,-1.14,2023-02-01
032763,55000,3,183200,3.28,3.36,3.28,3.28,0.2,2023-02-01
032764,180000,10,450740,2.47,2.68,2.46,2.68,0.35,2023-02-01
032765,809000,29,1384870,1.67,1.78,1.66,1.78,0.18,2023-02-01
032766,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
